KE: , 0.3 , PE: , -0.166667 , total: , 0.133333 , delta E: , 0 , t: , 0
KE: , 0.299994 , PE: , -0.166663 , total: , 0.133331 , delta E: , -1.9285e-05 , t: , 0.25
KE: , 0.299974 , PE: , -0.166651 , total: , 0.133323 , delta E: , -7.71351e-05 , t: , 0.5
KE: , 0.299942 , PE: , -0.166632 , total: , 0.13331 , delta E: , -0.000173511 , t: , 0.75
KE: , 0.299897 , PE: , -0.166605 , total: , 0.133292 , delta E: , -0.000308349 , t: , 1
KE: , 0.29984 , PE: , -0.16657 , total: , 0.133269 , delta E: , -0.000481557 , t: , 1.25
KE: , 0.299769 , PE: , -0.166528 , total: , 0.133241 , delta E: , -0.000693019 , t: , 1.5
KE: , 0.299686 , PE: , -0.166478 , total: , 0.133208 , delta E: , -0.000942592 , t: , 1.75
KE: , 0.29959 , PE: , -0.166421 , total: , 0.133169 , delta E: , -0.00123011 , t: , 2
KE: , 0.299482 , PE: , -0.166356 , total: , 0.133126 , delta E: , -0.00155538 , t: , 2.25
KE: , 0.299362 , PE: , -0.166284 , total: , 0.133078 , delta E: , -0.00191819 , t: , 2.5
KE: , 0.299229 , PE: , -0.166204 , total: , 0.133024 , delta E: , -0.00231828 , t: , 2.75
KE: , 0.299084 , PE: , -0.166118 , total: , 0.132966 , delta E: , -0.00275541 , t: , 3
KE: , 0.298926 , PE: , -0.166024 , total: , 0.132903 , delta E: , -0.00322926 , t: , 3.25
KE: , 0.298757 , PE: , -0.165923 , total: , 0.132835 , delta E: , -0.00373954 , t: , 3.5
KE: , 0.298576 , PE: , -0.165815 , total: , 0.132762 , delta E: , -0.00428591 , t: , 3.75
KE: , 0.298384 , PE: , -0.1657 , total: , 0.132684 , delta E: , -0.00486799 , t: , 4
KE: , 0.29818 , PE: , -0.165578 , total: , 0.132602 , delta E: , -0.00548542 , t: , 4.25
KE: , 0.297964 , PE: , -0.165449 , total: , 0.132515 , delta E: , -0.00613778 , t: , 4.5
KE: , 0.297738 , PE: , -0.165315 , total: , 0.132423 , delta E: , -0.00682465 , t: , 4.75
KE: , 0.2975 , PE: , -0.165173 , total: , 0.132327 , delta E: , -0.00754558 , t: , 5
KE: , 0.297252 , PE: , -0.165026 , total: , 0.132227 , delta E: , -0.00830011 , t: , 5.25
KE: , 0.296993 , PE: , -0.164872 , total: , 0.132122 , delta E: , -0.00908775 , t: , 5.5
KE: , 0.296724 , PE: , -0.164712 , total: , 0.132012 , delta E: , -0.00990799 , t: , 5.75
KE: , 0.296445 , PE: , -0.164546 , total: , 0.131899 , delta E: , -0.0107603 , t: , 6
KE: , 0.296156 , PE: , -0.164375 , total: , 0.131781 , delta E: , -0.0116442 , t: , 6.25
KE: , 0.295857 , PE: , -0.164198 , total: , 0.131659 , delta E: , -0.012559 , t: , 6.5
KE: , 0.295548 , PE: , -0.164015 , total: , 0.131533 , delta E: , -0.0135042 , t: , 6.75
KE: , 0.29523 , PE: , -0.163828 , total: , 0.131403 , delta E: , -0.0144792 , t: , 7
KE: , 0.294904 , PE: , -0.163635 , total: , 0.131269 , delta E: , -0.0154834 , t: , 7.25
KE: , 0.294568 , PE: , -0.163437 , total: , 0.131131 , delta E: , -0.0165162 , t: , 7.5
KE: , 0.294224 , PE: , -0.163235 , total: , 0.13099 , delta E: , -0.0175769 , t: , 7.75
KE: , 0.293872 , PE: , -0.163028 , total: , 0.130845 , delta E: , -0.0186649 , t: , 8
KE: , 0.293512 , PE: , -0.162816 , total: , 0.130696 , delta E: , -0.0197795 , t: , 8.25
KE: , 0.293144 , PE: , -0.1626 , total: , 0.130544 , delta E: , -0.0209201 , t: , 8.5
KE: , 0.292769 , PE: , -0.16238 , total: , 0.130389 , delta E: , -0.0220859 , t: , 8.75
KE: , 0.292386 , PE: , -0.162156 , total: , 0.13023 , delta E: , -0.0232763 , t: , 9
KE: , 0.291997 , PE: , -0.161929 , total: , 0.130068 , delta E: , -0.0244904 , t: , 9.25
KE: , 0.2916 , PE: , -0.161697 , total: , 0.129903 , delta E: , -0.0257278 , t: , 9.5
KE: , 0.291198 , PE: , -0.161463 , total: , 0.129735 , delta E: , -0.0269875 , t: , 9.75
KE: , 0.290789 , PE: , -0.161225 , total: , 0.129564 , delta E: , -0.0282689 , t: , 10
KE: , 0.290375 , PE: , -0.160984 , total: , 0.129391 , delta E: , -0.0295712 , t: , 10.25
KE: , 0.289954 , PE: , -0.16074 , total: , 0.129214 , delta E: , -0.0308937 , t: , 10.5
KE: , 0.289529 , PE: , -0.160494 , total: , 0.129035 , delta E: , -0.0322356 , t: , 10.75
KE: , 0.289098 , PE: , -0.160245 , total: , 0.128854 , delta E: , -0.0335961 , t: , 11
KE: , 0.288663 , PE: , -0.159993 , total: , 0.12867 , delta E: , -0.0349746 , t: , 11.25
KE: , 0.288223 , PE: , -0.159739 , total: , 0.128484 , delta E: , -0.0363701 , t: , 11.5
KE: , 0.287779 , PE: , -0.159484 , total: , 0.128296 , delta E: , -0.0377821 , t: , 11.75
KE: , 0.287331 , PE: , -0.159226 , total: , 0.128105 , delta E: , -0.0392096 , t: , 12
KE: , 0.28688 , PE: , -0.158967 , total: , 0.127913 , delta E: , -0.0406519 , t: , 12.25
KE: , 0.286425 , PE: , -0.158706 , total: , 0.127719 , delta E: , -0.0421082 , t: , 12.5
KE: , 0.285966 , PE: , -0.158443 , total: , 0.127523 , delta E: , -0.0435778 , t: , 12.75
KE: , 0.285505 , PE: , -0.15818 , total: , 0.127325 , delta E: , -0.0450598 , t: , 13
KE: , 0.285042 , PE: , -0.157915 , total: , 0.127126 , delta E: , -0.0465535 , t: , 13.25
KE: , 0.284575 , PE: , -0.15765 , total: , 0.126926 , delta E: , -0.0480581 , t: , 13.5
KE: , 0.284107 , PE: , -0.157384 , total: , 0.126724 , delta E: , -0.0495728 , t: , 13.75
KE: , 0.283637 , PE: , -0.157117 , total: , 0.12652 , delta E: , -0.0510968 , t: , 14
KE: , 0.283165 , PE: , -0.156849 , total: , 0.126316 , delta E: , -0.0526294 , t: , 14.25
KE: , 0.282692 , PE: , -0.156582 , total: , 0.126111 , delta E: , -0.0541698 , t: , 14.5
KE: , 0.282218 , PE: , -0.156314 , total: , 0.125904 , delta E: , -0.0557172 , t: , 14.75
KE: , 0.281743 , PE: , -0.156046 , total: , 0.125697 , delta E: , -0.0572709 , t: , 15
KE: , 0.281267 , PE: , -0.155778 , total: , 0.125489 , delta E: , -0.05883 , t: , 15.25
KE: , 0.280791 , PE: , -0.15551 , total: , 0.125281 , delta E: , -0.0603939 , t: , 15.5
KE: , 0.280315 , PE: , -0.155243 , total: , 0.125072 , delta E: , -0.0619617 , t: , 15.75
KE: , 0.279839 , PE: , -0.154976 , total: , 0.124862 , delta E: , -0.0635328 , t: , 16
KE: , 0.279363 , PE: , -0.15471 , total: , 0.124652 , delta E: , -0.0651064 , t: , 16.25
KE: , 0.278887 , PE: , -0.154445 , total: , 0.124442 , delta E: , -0.0666816 , t: , 16.5
KE: , 0.278412 , PE: , -0.15418 , total: , 0.124232 , delta E: , -0.0682579 , t: , 16.75
KE: , 0.277939 , PE: , -0.153917 , total: , 0.124022 , delta E: , -0.0698345 , t: , 17
KE: , 0.277466 , PE: , -0.153654 , total: , 0.123812 , delta E: , -0.0714106 , t: , 17.25
KE: , 0.276995 , PE: , -0.153393 , total: , 0.123602 , delta E: , -0.0729855 , t: , 17.5
KE: , 0.276525 , PE: , -0.153133 , total: , 0.123392 , delta E: , -0.0745586 , t: , 17.75
KE: , 0.276057 , PE: , -0.152874 , total: , 0.123183 , delta E: , -0.0761291 , t: , 18
KE: , 0.275591 , PE: , -0.152617 , total: , 0.122974 , delta E: , -0.0776964 , t: , 18.25
KE: , 0.275127 , PE: , -0.152361 , total: , 0.122765 , delta E: , -0.0792597 , t: , 18.5
KE: , 0.274665 , PE: , -0.152108 , total: , 0.122558 , delta E: , -0.0808184 , t: , 18.75
KE: , 0.274206 , PE: , -0.151856 , total: , 0.12235 , delta E: , -0.0823717 , t: , 19
KE: , 0.27375 , PE: , -0.151606 , total: , 0.122144 , delta E: , -0.0839192 , t: , 19.25
KE: , 0.273296 , PE: , -0.151357 , total: , 0.121939 , delta E: , -0.08546 , t: , 19.5
KE: , 0.272846 , PE: , -0.151111 , total: , 0.121734 , delta E: , -0.0869936 , t: , 19.75
